ROW_ID;ID;TITLE;ALT TITLE;RLS DATE;DURATION (MIN);DIRECTORS;ACTORS;CATEGORIES;ORIGIN;NB_SEASONS;NB_EPISODES;DESCRIPTION;IMAGE;KEYWORDS
11;6994;Crime et châtiment (2016);ND;En cours;90 min;France 3;Christophe Hondelatte;;France;1;5;Dans cette nouvelle collection qui a pour décor la cour d'assises, Christophe Hondelatte exploite pour la première fois la dramaturgie des assises, éclaire les coulisses du tribunal et articule le suspense du procès avec la narration des faits.;https://str01-m.dpstream.media/s/6994/zzaf---crime-et-châtiment---2016-v1-1479102619.jpg;Série Crime et châtiment (2016) streaming,Crime et châtiment (2016) dpstream, Série Crime et châtiment (2016) HD, Crime et châtiment (2016) streaming VF
12;6993;La Main du mal;ND;En cours;90 min;Pierre Aknine;Grégory Fitoussi, Mélanie Doutey, JoeyStarr;;France;1;2;"Thomas Schaffner est un brillant avocat qui considère que tout le monde a le droit d’être défendu, même la pire des crapules. Appliquant ce principe, il plaide la cause de Follet, un assassin qui a tué sauvagement une jeune femme. Il gagne son procès, Follet est libéré mais Thomas refuse de lui serrer la main, trop écœuré par le sadisme de son client… Vexé, ce dernier décide de s’en prendre à la femme de Thomas. Le début d’un terrible engrenage…

INFO : Remake de la mini-série anglaise The Escape Artist (en) diffusée sur BBC One en 2013.";https://str01-m.dpstream.media/s/6993/zzaf---la-main-du-mal---2016-1478996250.jpg;Série La Main du mal streaming,La Main du mal dpstream, Série La Main du mal HD, La Main du mal streaming VF
13;6992;Close to the Enemy;ND;En cours;60 min;Stephen Poliakoff;Angela Bassett, Alfie Allen, Sebastian Armesto;;Royaume-Uni;1;8;1946. Londres est ravagée par la guerre. Le capitaine Callum Ferguson se voit confier une mission diplomatique délicate : persuader un éminent scientifique allemand venant d’être arrêté de collaborer avec les services secrets britanniques.;https://str01-m.dpstream.media/s/6992/close-1478862144.jpg;Série Close to the Enemy streaming,Close to the Enemy dpstream, Série Close to the Enemy HD, Close to the Enemy streaming VF
14;6991;American Experience;ND;En cours;50 min;Henry Hampton,  Stephen Fitzmeyer;Morgan Freeman, Liev Schreiber, Stacy Keach, Peter Coyote, Eli Wallach, Laura Linney, Walt Disney, Jason Robards, Kathy Bates, Philip Bosco;;États-Unis;28;318;"American Experience est une série documentaire créée en 1988 et toujours diffusée sur la chaîne de télévision publique américaine PBS.
De grands noms tels que Walt Disney, Liev Schreiber, Peter Coyote, Stacy Keach, Eli Wallach, Laura Linney, Philip Bosco et Kathy Bates, Jason Robards et Morgan Freeman ont participé à la série en tant que narrateurs ou interprètes.
Plusieurs épisodes ont été distingué en recevant des Peabody Awards considérés comme la plus vieille distinction dans les médias modernes, et sont généralement considérés comme la plus prestigieuse récompense dans les domaines du journalisme télévisé ou radiodiffusé, la réalisation de documentaire, les programmes éducatifs et le divertissement.

Liste (anglaise) des épisodes
https://en.wikipedia.org/wiki/List_of_American_Experience_episodes";https://str01-m.dpstream.media/s/6991/zzaf---american-experience---v1-1478824902.jpg;Série American Experience streaming,American Experience dpstream, Série American Experience HD, American Experience streaming VF
15;6990;Mariés au premier regard;ND;En cours;90 min;Groupe M6;Cathe­rine Solano, Stéphane Edouard, Pascal de Sutter;;France;1;3;"La science peut-elle nous aider à trouver le grand amour ? Alors que les sites ou applications de rencontres se multiplient et que les moyens de trouver le partenaire idéal semblent plus nombreux qu'auparavant, un constat s'impose...

Les experts : Pascal de Sutter, docteur en psychologie, Catherine Solano, médecin sexologue et andrologue, Stéphane Edouard, sociologue

Adaptation française du format américain <b>Married at first sight </b>";https://str01-m.dpstream.media/s/6990/zzaf---mariés-au-premier-regard--2016-v1-1478807318.jpg;Série Mariés au premier regard streaming,Mariés au premier regard dpstream, Série Mariés au premier regard HD, Mariés au premier regard streaming VF
16;6989;Hindenburg, l'ultime odyssée - Hindenburg, le géant des airs;Hindenburg: The Last Flight;En cours;90 min;Philipp Kadelbach;Stacy Keach, Maximilian Simonischek, Lauren Lee Smith;;Allemagne;1;2;Évocation de l'une des plus grandes catastrophes aériennes de l'histoire : l'incendie du dirigeable allemand Hindenburg en 1937.;https://str01-m.dpstream.media/s/6989/zzaf---hindenburg-lultime-odyssée-1478664803.jpg;Série Hindenburg,  l'ultime odyssée - Hindenburg,  le géant des airs streaming,Hindenburg,  l'ultime odyssée - Hindenburg,  le géant des airs dpstream, Série Hindenburg,  l'ultime odyssée - Hindenburg,  le géant des airs HD, Hindenburg,  l'ultime odyssée - Hindenburg,  le géant des airs streaming VF
17;6988;Frontier;ND;En cours;60 min;Brad Peyton,  Kelly Makin,  John Vatcher;Alun Armstrong, Landon Liboiron, Jason Momoa;;États-Unis;1;6;Cette série d’action et d’aventure suit la lutte violente et chaotique pour la prise de pouvoir et le contrôle des richesses dans l’Amérique du Nord de la fin du 18e siècle. Racontée sous différentes perspectives, la série se déroule dans un monde où les négociations commerciales peuvent se solder par un coup de hache et où les relations sensibles entre les tribus d’indiens d’Amérique et les Européens peuvent se transformer en bain de sang.;https://str01-m.dpstream.media/s/6988/545983.jpg-r_640_600-b_1_d6d6d6-f_jpg-q_x-xxyxx-1478528202.jpg;Série Frontier streaming,Frontier dpstream, Série Frontier HD, Frontier streaming VF
18;6987;Dirk Gently's Holistic Detective Agency (2016);Dirk Gently's Holistic Detective Agency;En cours;60 min;Max Landis;Elijah Wood, Samuel Barnett, Hannah Marks;;États-Unis;1;3;Les étranges aventures de l'excentrique Dirk Gently et de son assistant Todd à propros de mystérieuses affaires...;https://str01-m.dpstream.media/s/6987/121946.jpg-r_640_600-b_1_d6d6d6-f_jpg-q_x-xxyxx-1478430295.jpg;Série Dirk Gently's Holistic Detective Agency (2016) streaming,Dirk Gently's Holistic Detective Agency (2016) dpstream, Série Dirk Gently's Holistic Detective Agency (2016) HD, Dirk Gently's Holistic Detective Agency (2016) streaming VF
19;6986;Miraculous, les aventures de Ladybug et Chat Noir;ND;En cours;26 min;Thomas Astruc;Anouck Hautbois, Benjamin Bollen, Antoine Tomé;;France, Japon, République de Corée;2;26;"Marinette et Adrien sont deux collégiens presque comme les autres. À la moindre menace sur Paris, ils deviennent Ladybug et Chat Noir. Leur mission : capturer les Akoumas du mystérieux Papillon qui transforment les Parisiens en supervilains. Si les deux héros font équipe, chacun ignore la véritable identité de l’autre : Marinette ne sait pas que derrière Chat Noir se cache Adrien, le garçon qu’elle aime secrètement ; et Adrien, dont le cœur bat pour Ladybug, ignore que derrière le costume de la superhéroïne se dissimule la fille sympa et tête en l’air de sa classe…";https://str01-m.dpstream.media/s/6986/zzaf---miraculous-les-aventures-de-ladybug-et-chat-noir-2015-1478315059.jpg;Série Miraculous, les aventures de Ladybug et Chat Noir streaming,Miraculous, les aventures de Ladybug et Chat Noir dpstream, Série Miraculous, les aventures de Ladybug et Chat Noir HD, Miraculous, les aventures de Ladybug et Chat Noir streaming VF
20;6985;The Crown;ND;En cours;40 min;Peter Morgan;Claire Foy, John Lithgow, Matt Smith (IV);;États-Unis;1;10;La série se concentre sur la Reine Elizabeth II, alors âgée de 25 ans et confrontée à la tâche démesurée de diriger la plus célèbre monarchie du monde tout en nouant des relations avec le légendaire premier ministre Sir Winston Churchill. L’empire britannique est en déclin, le monde politique en désarroi… une jeune femme monte alors sur le trône, à l’aube d’une nouvelle ère.;https://str01-m.dpstream.media/s/6985/thecrown-1478269028.jpg;Série The Crown streaming,The Crown dpstream, Série The Crown HD, The Crown streaming VF
21;6984;DiCaire Show;ND;En cours;120 min;Franck Broqua,  Frank Saurat;Véronic Dicaire;;France;1;2;"Imitatrice, chanteuse, comédienne, danseuse, Véronic DiCaire est devenue en quelques années une figure incontournable du divertissement. Celle qui s'est révélée en assurant la première partie de Céline Dion en 2008 a depuis conquis le coeur des Français en imitant à s'y méprendre plus de cent voix françaises et internationales et en remplissant les salles de spectacles les plus prestigieuses. 
Dans la grande tradition des shows à l'Américaine, Véronic DiCaire mélange imitations, parodies, sketches et musique. 
Autour d'un grand orchestre, elle reçoit les plus grands artistes français du rire et de la chanson.";https://str01-m.dpstream.media/s/6984/zzaf---le-dicaire-show---2016-v1-1478199440.jpg;Série DiCaire Show streaming,DiCaire Show dpstream, Série DiCaire Show HD, DiCaire Show streaming VF
22;6983;Stan Against Evil;ND;En cours;22 min;Dana Gould;John C. McGinley, Janet Varney, Nate Mooney;;États-Unis;1;8;Stan, shérif forcé de prendre une retraite anticipée, a du mal à passer le flambeau à sa remplaçante, Evie. Les deux vont néanmoins former une alliance afin de combattre des démons qui hantent la ville, construite sur le lieu d'un massacre de sorcières au 17ème siècle.;https://str01-m.dpstream.media/s/6983/331252.jpg-r_640_600-b_1_d6d6d6-f_jpg-q_x-xxyxx-1478167203.jpg;Série Stan Against Evil streaming,Stan Against Evil dpstream, Série Stan Against Evil HD, Stan Against Evil streaming VF
23;6982;The Moonstone;ND;En cours;45 min;Lisa Mulcahy;Joshua Silver, Nisa Cole, Leo Wringer;;Royaume-Uni;1;5;Un bijou de grande valeur disparaît, après une soirée mondaine dans une demeure anglaise, au beau milieu de la campagne. Le charismatique Franklin Blake réalise alors qu’il ne pourra conquérir le cœur de la belle et indépendante Rachel Verinder que s’il découvrir qui est le voleur. Or, le nombre de suspects est important. Il demande alors l’aide du Détective Cuff afin d’attraper le coupable et gagner le cœur de la jeune femme.;https://str01-m.dpstream.media/s/6982/the-moonstone62-1479732808.jpg;Série The Moonstone streaming,The Moonstone dpstream, Série The Moonstone HD, The Moonstone streaming VF
24;6981;People of Earth;ND;En cours;22 min;David Jenkins;Oscar Núñez, Ana Gasteyer, Wyatt Cenac;;États-Unis;1;10;Ozzie Graham, un journaliste sceptique, enquête sur un groupe de soutien pour les personnes enlevées par des extra-terrestres, afin de retranscrire de potentielles rencontres surnaturelles. Plus il creuse dans leurs revendications excentriques, plus il se rend compte de la véracité de leurs histoires, et peut-être même de signes qui pourraient prouver son propre enlèvement par des extra-terrestres.;https://str01-m.dpstream.media/s/6981/036211.jpg-r_640_600-b_1_d6d6d6-f_jpg-q_x-xxyxx-1478015333.jpg;Série People of Earth streaming,People of Earth dpstream, Série People of Earth HD, People of Earth streaming VF
25;6980;Dark Angel (2016);Dark Angel;En cours;60 min;Brian Percival;Alun Armstrong, Seamus O'Neill, Joanne Froggatt;;Royaume-Uni;1;2;L'histoire de Mary Ann Cotton, serial killer pendant l'époque Victorienne.;https://str01-m.dpstream.media/s/6980/mv5bmgqwmdewyjmtmde0ys00ztvhlwfkmtytmtcwoguzywjmzte4xkeyxkfqcgdeqxvymjexmjk;Série Dark Angel (2016) streaming,Dark Angel (2016) dpstream, Série Dark Angel (2016) HD, Dark Angel (2016) streaming VF
26;6979;Talma et le mythe d’Agartha;Talma & the Myth of Agharta;En cours;26 min;Dario Duran;;;Espagne;1;3;Chine, 1931- L'archéologue Michael Toussaint est en Chine pour effectuer des fouilles dans les montagnes de Kunlun lorsqu'il disparaît mystérieusement. En réalité, il vient de découvrir le «dragon de jade», la clé d'une des entrées de la cité d'Agartha, un royaume souterrain légendaire, relié à tous les continents par un vaste réseau de galeries et de tunnels. Sa fille Talma, journaliste à New York, part immédiatement à sa recherche, accompagnée de son ami Bob...;https://str01-m.dpstream.media/s/6979/zzaf---talma-et-le-mythe-d’agartha--2014-v1-1477965414.jpg;Série Talma et le mythe d’Agartha streaming,Talma et le mythe d’Agartha dpstream, Série Talma et le mythe d’Agartha HD, Talma et le mythe d’Agartha streaming VF
27;6978;Dream Corp LLC;ND;En cours;42 min;Daniel Stessen;Stephen Merchant, Stephanie Allynne, Ahmed Bharoocha;;États-Unis;1;6;Dream Corp LLC est une thérapie expérimentale menée par le Dr Roberts, qui permet de vivre ses rêves les plus enfouis dans une réalité virtuelle. Mais très vite, le comportement des patients change au fur et à mesure des semaines...;https://str01-m.dpstream.media/s/6978/watch-dream-corp-llc-29387-1477912575.jpg;Série Dream Corp LLC streaming,Dream Corp LLC dpstream, Série Dream Corp LLC HD, Dream Corp LLC streaming VF
28;6977;Le Mystère Enfield;The Enfield Haunting;En cours;50 min;Joshua St. Johnston;Matthew MacFadyen, Rosie Cavaliero, Timothy Spall;;Royaume-Uni;1;3;"Eté 1977, Peggy Hodgson et ses quatre enfants expérimentent des phénomènes très étranges dans leur nouvelle maison située à Einfield. Elle fait alors appel à Maurice Grosse, chercheur débutant dans le paranormal, pour qu’il mène l’enquête. Il est assisté par Guy Lyon Playfair, investigateur expérimenté qui aborde ce cas avec scepticisme.

NB : Si vous avez aimé The Conjuring 2, découvrez la série Le Mystère Enfield";https://str01-m.dpstream.media/s/6977/enfieldj-1477764017.jpg;Série Le Mystère Enfield streaming,Le Mystère Enfield dpstream, Série Le Mystère Enfield HD, Le Mystère Enfield streaming VF
29;6976;Good Girls Revolt;ND;En cours;55 min;Dana Calvo;Genevieve Angelson, Anna Camp, Erin Darke;;États-Unis;1;10;A la fin des années 1960, la vie d'un hebdomadaire national en pleines revendications pour les droits des femmes;https://str01-m.dpstream.media/s/6976/good-girls-1477732341.jpg;Série Good Girls Revolt streaming,Good Girls Revolt dpstream, Série Good Girls Revolt HD, Good Girls Revolt streaming VF
30;6975;Pure Genius;ND;En cours;42 min;Jason Katims;Dermot Mulroney, Odette Annable, Augustus Prew;;États-Unis;1;13;James Bell, génie milliardaire spécialisé dans la technologie, embauche le Dr. Walter Wallade, un chirurgien controversé, pour mettre en place Bunker Hill, un hôpital avant-gardiste sensé révolutionner le monde de la santé.;https://str01-m.dpstream.media/s/6975/066288.jpg-r_640_600-b_1_d6d6d6-f_jpg-q_x-xxyxx-1477656520.jpg;Série Pure Genius streaming,Pure Genius dpstream, Série Pure Genius HD, Pure Genius streaming VF
31;6974;The Great Indoors;ND;En cours;22 min;Mike Gibbons;Joel McHale, Christopher Mintz-Plasse, Susannah Fielding;;États-Unis;1;13;Un journaliste d'aventure doit s'adapter le jour où il devient responsable de jeunes adultes du département numérique dans le magazine pour lequel il travaille.;https://str01-m.dpstream.media/s/6974/489055.jpg-r_640_600-b_1_d6d6d6-f_jpg-q_x-xxyxx-1477656290.jpg;Série The Great Indoors streaming,The Great Indoors dpstream, Série The Great Indoors HD, The Great Indoors streaming VF
32;6973;Médicis : les Maîtres de Florence;Medici: Masters Of Florence;En cours;60 min;Frank Spotnitz;Dustin Hoffman, Richard Madden, Annabel Scholey;;Italie, États-Unis;1;8;L’ascension de la famille Médicis, de simples commerçants aux banquiers et hommes politiques puissants qui ont déclenché une révolution économique et culturelle dans la Renaissance italienne au xive et xve siècles.;https://str01-m.dpstream.media/s/6973/medicici-1477651754.jpg;Série Médicis : les Maîtres de Florence streaming,Médicis : les Maîtres de Florence dpstream, Série Médicis : les Maîtres de Florence HD, Médicis : les Maîtres de Florence streaming VF
33;6972;Une ambition intime;ND;En cours;120 min;Groupe M6;Nicolas Sarkozy, François Fillon, Karine Le Marchand, Arnaud Montebourg, Bruno Le Maire, Marine Le Pen, Jean-Luc Mélenchon, Alain Juppé, François Bayrou;;France;1;2;"Ils sont tous candidats à la Présidence de la République, mais qui sont-ils vraiment ? 
Dans « Une ambition intime », Karine Le Marchand dresse des portraits humains, émouvants, drôles parfois, authentiques toujours, de celles et ceux qui ont pris la décision d'accéder à la plus haute fonction de la République. 
Qui sont ces femmes et ces hommes qui souhaitent nous gouverner ? 
C'est sans fard et avec sincérité qu'ils ont décidé de prendre la parole pour nous dévoiler leur enfance, leur histoire...";https://str01-m.dpstream.media/s/6972/zzaf---une-ambition-intime---2016-v1-1477586800.jpg;Série Une ambition intime streaming,Une ambition intime dpstream, Série Une ambition intime HD, Une ambition intime streaming VF
34;6971;Travelers;ND;En cours;42 min;Brad Wright;Eric McCormack, Jared Abrahamson, Patrick Gilmore;;Canada;1;12;Des centaines d'années dans le futur, les hommes parviennent à renvoyer des connaissances dans le passé, jusque dans l'esprit de personnes au XXIème siècle.;https://str01-m.dpstream.media/s/6971/541327.jpg-r_640_600-b_1_d6d6d6-f_jpg-q_x-xxyxx-1477489164.jpg;Série Travelers streaming,Travelers dpstream, Série Travelers HD, Travelers streaming VF
35;6970;Man With a Plan;ND;En cours;22 min;Jeff Filgo,  Jackie Filgo;Matt LeBlanc, Liza Snyder, Matt Cook (III);;États-Unis;1;9;Après avoir été mère au foyer pendant 13 ans, Andi décide de retourner dans le monde du travail. C'est donc à son mari, Adam, d'être en charge de la maison, et surtout de leurs trois enfants, qui vont être plus compliqués à gérer qu'il ne le pensait.;https://str01-m.dpstream.media/s/6970/310537.jpg-r_640_600-b_1_d6d6d6-f_jpg-q_x-xxyxx-1477471793.jpg;Série Man With a Plan streaming,Man With a Plan dpstream, Série Man With a Plan HD, Man With a Plan streaming VF
36;6969;Goliath;ND;En cours;55 min;David E. Kelley,  Jonathan Shapiro;Billy Bob Thornton;;États-Unis;1;8;Après avoir perdu une affaire, un avocat sombre dans l'alcoolisme. Sa femme le quitte et il perd son emploi, lâché par son partenaire. Bientôt, une affaire se présente et il a l'occasion d'affronter ce fameux partenaire.;https://str01-m.dpstream.media/s/6969/097919.jpg-r_640_600-b_1_d6d6d6-f_jpg-q_x-xxyxx-1477471528.jpg;Série Goliath streaming,Goliath dpstream, Série Goliath HD, Goliath streaming VF
37;6968;Class;ND;En cours;45 min;Patrick Ness;Fady Elsayed, Greg Austin, Sophie Hopkins;;Royaume-Uni;1;8;"La Coal Hill Academy n'est pas une école comme les autres. Là-bas, étudiants et corps enseignant se croisent dans les couloirs du bâtiment, partageant leur quotidien peuplé de créatures étranges et rythmé par des voyages temporels.

Spin-Off de Doctor Who. 
http://www.dpstream.net/serie-117-doctor-who-2005.html";https://str01-m.dpstream.media/s/6968/558114.jpg-r_640_600-b_1_d6d6d6-f_jpg-q_x-xxyxx-1477307089.jpg;Série Class streaming,Class dpstream, Série Class HD, Class streaming VF
38;6967;The Young Pope;ND;En cours;50 min;Paolo Sorrentino;Jude Law, Silvio Orlando, Diane Keaton;;Italie, États-Unis;1;10;L'ascension de Pie XIII, né Lenny Belardo, le premier Pape italo-américain de l'Histoire. Cet homme au pouvoir immense est doté d'une personnalité complexe et contradictoire. D'un conservatisme fleurant l'obsurantisme le plus archaïque, il se révèle pourtant éperdu de compassion envers les plus pauvres et les plus faibles. Et malgré les trahisons de son entourage et sa peur de l'abandon, y compris de son propre Dieu, il n'hésitera pas à se battre avec la plus grande ferveur, en franchissant plus d'une fois les limites édictées par les pauvres mortels.;https://str01-m.dpstream.media/s/6967/young-1477212275.jpg;Série The Young Pope streaming,The Young Pope dpstream, Série The Young Pope HD, The Young Pope streaming VF
39;6966;Robinson Crusoë (2003);ND;En cours;90 min;Thierry Chabert;Nicolas Cazalé, Pierre Richard, Jean-Claude Leguay;;Canada, France, Royaume-Uni;1;2;"Mars 1744. La Santa Lucia quitte son port d'attache, direction l'Amérique du Sud. A son bord, Robinson Crusoé, propriétaire d'une modeste plantation de canne à sucre et tuteur de la jeune Isabella.

Cette mini-série existe aussi en Format Téléfilm";https://str01-m.dpstream.media/s/6966/zzaf---robinson-crusoë---2003-1477072078.jpg;Série Robinson Crusoë (2003) streaming,Robinson Crusoë (2003) dpstream, Série Robinson Crusoë (2003) HD, Robinson Crusoë (2003) streaming VF
40;6965;Zapped!;ND;En cours;30 min;Dan Gaster,  Paul Powell (II);James Buckley, Kenneth Collard, Haruka Abe;;Royaume-Uni;1;10;Lors d'une expérience, Brian est brusquement transporté dans un monde parallèle. En entrant dans un bar local, il y rencontre le propriétaire, Herman, ainsi que Barbara, Steg et Howell, des habitués de l'établissement quelque peu excentriques. Brian souhaite rentrer chez lui par tous les moyens mais ses nouvelles connaissances ne sont d'aucune aide. Il se retrouve donc coincé dans un monde fantastique qu'il ne comprend pas.;https://str01-m.dpstream.media/s/6965/zapped-1477048710.jpg;Série Zapped! streaming,Zapped! dpstream, Série Zapped! HD, Zapped! streaming VF
41;6964;Dimanche 20h55;ND;En cours;ND;France 2;Laurent Delahousse;;France;1;5;Un dimanche par mois, en prime time, Laurent Delahousse vous propose un nouveau rendez-vous événementiel : Dimanche 20h55. Une soirée pour comprendre l’actualité en remontant le fil de l’Histoire.;https://str01-m.dpstream.media/s/6964/zzaf---dimanche-20h55---v1-1477003501.jpg;Série Dimanche 20h55 streaming,Dimanche 20h55 dpstream, Série Dimanche 20h55 HD, Dimanche 20h55 streaming VF
42;6963;Chance (2016);ND;En cours;60 min;Alexandra Cunningham,  Kem Nunn;Hugh Laurie, LisaGay Hamilton, Stefania Owen;;États-Unis;1;20;Un neuropsychiatre qui va se retrouver en conflit avec l'épouse abusive d'un patient. Le problème ? Cette femme travaille aussi pour... la police !;https://str01-m.dpstream.media/s/6963/chance-1476984993.jpg;Série Chance (2016) streaming,Chance (2016) dpstream, Série Chance (2016) HD, Chance (2016) streaming VF
