ROW_ID;TITLE;ALT TITLE;RLS DATE;DURATION (MIN);DIRECTORS;ACTORS;CATEGORIES;ORIGIN;NB_SEASONS;NB_EPISODES;DESCRIPTION;IMAGE;KEYWORDS
1;Close to the Enemy;ND;En cours;60 min;Stephen Poliakoff;Angela Bassett, Alfie Allen, Sebastian Armesto;Drame,Guerre,Histoire;Royaume-Uni;1;8;1946. Londres est ravagée par la guerre. Le capitaine Callum Ferguson se voit confier une mission diplomatique délicate : persuader un éminent scientifique allemand venant d’être arrêté de collaborer avec les services secrets britanniques.;http://static.media.dpstream.net/s/6992/close-1478862144.jpg;Série Close to the Enemy streaming,Close to the Enemy dpstream, Série Close to the Enemy HD, Close to the Enemy streaming VF
2;American Experience;ND;En cours;50 min;Henry Hampton,  Stephen Fitzmeyer;Morgan Freeman, Liev Schreiber, Stacy Keach, Peter Coyote, Eli Wallach, Laura Linney, Walt Disney, Jason Robards, Kathy Bates, Philip Bosco;Documentaire,Histoire,Biopic,Divertissement,Infos;États-Unis;28;318;"American Experience est une série documentaire créée en 1988 et toujours diffusée sur la chaîne de télévision publique américaine PBS.
De grands noms tels que Walt Disney, Liev Schreiber, Peter Coyote, Stacy Keach, Eli Wallach, Laura Linney, Philip Bosco et Kathy Bates, Jason Robards et Morgan Freeman ont participé à la série en tant que narrateurs ou interprètes.
Plusieurs épisodes ont été distingué en recevant des Peabody Awards considérés comme la plus vieille distinction dans les médias modernes, et sont généralement considérés comme la plus prestigieuse récompense dans les domaines du journalisme télévisé ou radiodiffusé, la réalisation de documentaire, les programmes éducatifs et le divertissement.

Liste (anglaise) des épisodes
https://en.wikipedia.org/wiki/List_of_American_Experience_episodes";http://static.media.dpstream.net/s/6991/zzaf---american-experience---v1-1478824902.jpg;Série American Experience streaming,American Experience dpstream, Série American Experience HD, American Experience streaming VF
3;Mariés au premier regard;ND;En cours;90 min;Groupe M6;Cathe­rine Solano, Stéphane Edouard, Pascal de Sutter;Romance,Téléréalité,Divertissement,Famille;France;1;3;"La science peut-elle nous aider à trouver le grand amour ? Alors que les sites ou applications de rencontres se multiplient et que les moyens de trouver le partenaire idéal semblent plus nombreux qu'auparavant, un constat s'impose...

Les experts : Pascal de Sutter, docteur en psychologie, Catherine Solano, médecin sexologue et andrologue, Stéphane Edouard, sociologue

Adaptation française du format américain <b>Married at first sight </b>";http://static.media.dpstream.net/s/6990/zzaf---mariés-au-premier-regard--2016-v1-1478807318.jpg;Série Mariés au premier regard streaming,Mariés au premier regard dpstream, Série Mariés au premier regard HD, Mariés au premier regard streaming VF
4;Hindenburg, l'ultime odyssée - Hindenburg, le géant des airs;Hindenburg: The Last Flight;En cours;90 min;Philipp Kadelbach;Stacy Keach, Maximilian Simonischek, Lauren Lee Smith;Action ,Catastrophe,Drame,Thriller;Allemagne;1;2;Évocation de l'une des plus grandes catastrophes aériennes de l'histoire : l'incendie du dirigeable allemand Hindenburg en 1937.;http://static.media.dpstream.net/s/6989/zzaf---hindenburg-lultime-odyssée-1478664803.jpg;Série Hindenburg,  l'ultime odyssée - Hindenburg,  le géant des airs streaming,Hindenburg,  l'ultime odyssée - Hindenburg,  le géant des airs dpstream, Série Hindenburg,  l'ultime odyssée - Hindenburg,  le géant des airs HD, Hindenburg,  l'ultime odyssée - Hindenburg,  le géant des airs streaming VF
5;Frontier;ND;En cours;60 min;Brad Peyton,  Kelly Makin,  John Vatcher;Alun Armstrong, Landon Liboiron, Jason Momoa;Aventure,Western;États-Unis;1;6;Cette série d’action et d’aventure suit la lutte violente et chaotique pour la prise de pouvoir et le contrôle des richesses dans l’Amérique du Nord de la fin du 18e siècle. Racontée sous différentes perspectives, la série se déroule dans un monde où les négociations commerciales peuvent se solder par un coup de hache et où les relations sensibles entre les tribus d’indiens d’Amérique et les Européens peuvent se transformer en bain de sang.;http://static.media.dpstream.net/s/6988/545983.jpg-r_640_600-b_1_d6d6d6-f_jpg-q_x-xxyxx-1478528202.jpg;Série Frontier streaming,Frontier dpstream, Série Frontier HD, Frontier streaming VF
6;Dirk Gently's Holistic Detective Agency (2016);Dirk Gently's Holistic Detective Agency;En cours;60 min;Max Landis;Elijah Wood, Samuel Barnett, Hannah Marks;Comédie,Policier,Science-fiction,Thriller;États-Unis;1;3;Les étranges aventures de l'excentrique Dirk Gently et de son assistant Todd à propros de mystérieuses affaires...;http://static.media.dpstream.net/s/6987/121946.jpg-r_640_600-b_1_d6d6d6-f_jpg-q_x-xxyxx-1478430295.jpg;Série Dirk Gently's Holistic Detective Agency (2016) streaming,Dirk Gently's Holistic Detective Agency (2016) dpstream, Série Dirk Gently's Holistic Detective Agency (2016) HD, Dirk Gently's Holistic Detective Agency (2016) streaming VF
7;Miraculous, les aventures de Ladybug et Chat Noir;ND;En cours;26 min;Thomas Astruc;Anouck Hautbois, Benjamin Bollen, Antoine Tomé;Action ,Animation,Comédie;France, Japon, République de Corée;2;26;"Marinette et Adrien sont deux collégiens presque comme les autres. À la moindre menace sur Paris, ils deviennent Ladybug et Chat Noir. Leur mission : capturer les Akoumas du mystérieux Papillon qui transforment les Parisiens en supervilains. Si les deux héros font équipe, chacun ignore la véritable identité de l’autre : Marinette ne sait pas que derrière Chat Noir se cache Adrien, le garçon qu’elle aime secrètement ; et Adrien, dont le cœur bat pour Ladybug, ignore que derrière le costume de la superhéroïne se dissimule la fille sympa et tête en l’air de sa classe…";http://static.media.dpstream.net/s/6986/zzaf---miraculous-les-aventures-de-ladybug-et-chat-noir-2015-1478315059.jpg;Série Miraculous, les aventures de Ladybug et Chat Noir streaming,Miraculous, les aventures de Ladybug et Chat Noir dpstream, Série Miraculous, les aventures de Ladybug et Chat Noir HD, Miraculous, les aventures de Ladybug et Chat Noir streaming VF
8;The Crown;ND;En cours;40 min;Peter Morgan;Claire Foy, John Lithgow, Matt Smith (IV);Drame,Histoire,Biopic;États-Unis;1;10;La série se concentre sur la Reine Elizabeth II, alors âgée de 25 ans et confrontée à la tâche démesurée de diriger la plus célèbre monarchie du monde tout en nouant des relations avec le légendaire premier ministre Sir Winston Churchill. L’empire britannique est en déclin, le monde politique en désarroi… une jeune femme monte alors sur le trône, à l’aube d’une nouvelle ère.;http://static.media.dpstream.net/s/6985/thecrown-1478269028.jpg;Série The Crown streaming,The Crown dpstream, Série The Crown HD, The Crown streaming VF
9;DiCaire Show;ND;En cours;120 min;Franck Broqua,  Frank Saurat;Véronic Dicaire;Musical,Spectacles,Divertissement,Humour;France;1;2;"Imitatrice, chanteuse, comédienne, danseuse, Véronic DiCaire est devenue en quelques années une figure incontournable du divertissement. Celle qui s'est révélée en assurant la première partie de Céline Dion en 2008 a depuis conquis le coeur des Français en imitant à s'y méprendre plus de cent voix françaises et internationales et en remplissant les salles de spectacles les plus prestigieuses. 
Dans la grande tradition des shows à l'Américaine, Véronic DiCaire mélange imitations, parodies, sketches et musique. 
Autour d'un grand orchestre, elle reçoit les plus grands artistes français du rire et de la chanson.";http://static.media.dpstream.net/s/6984/zzaf---le-dicaire-show---2016-v1-1478199440.jpg;Série DiCaire Show streaming,DiCaire Show dpstream, Série DiCaire Show HD, DiCaire Show streaming VF
10;Stan Against Evil;ND;En cours;22 min;Dana Gould;John C. McGinley, Janet Varney, Nate Mooney;Comédie,Epouvante-horreur;États-Unis;1;8;Stan, shérif forcé de prendre une retraite anticipée, a du mal à passer le flambeau à sa remplaçante, Evie. Les deux vont néanmoins former une alliance afin de combattre des démons qui hantent la ville, construite sur le lieu d'un massacre de sorcières au 17ème siècle.;http://static.media.dpstream.net/s/6983/331252.jpg-r_640_600-b_1_d6d6d6-f_jpg-q_x-xxyxx-1478167203.jpg;Série Stan Against Evil streaming,Stan Against Evil dpstream, Série Stan Against Evil HD, Stan Against Evil streaming VF
11;The Moonstone;ND;En cours;45 min;Lisa Mulcahy;Joshua Silver, Nisa Cole, Leo Wringer;Drame,Histoire,Policier;Royaume-Uni;1;5;Un bijou de grande valeur disparaît, après une soirée mondaine dans une demeure anglaise, au beau milieu de la campagne. Le charismatique Franklin Blake réalise alors qu’il ne pourra conquérir le cœur de la belle et indépendante Rachel Verinder que s’il découvrir qui est le voleur. Or, le nombre de suspects est important. Il demande alors l’aide du Détective Cuff afin d’attraper le coupable et gagner le cœur de la jeune femme.;http://static.media.dpstream.net/s/6982/mv5bmmeynwu5otktmzm1yi00ymfhlwfmmmitotk5ztqwnta0ztywxkeyxkfqcgdeqxvymjg3mji;Série The Moonstone streaming,The Moonstone dpstream, Série The Moonstone HD, The Moonstone streaming VF
12;People of Earth;ND;En cours;22 min;David Jenkins;Oscar Núñez, Ana Gasteyer, Wyatt Cenac;Comédie,Science-fiction;États-Unis;1;10;Ozzie Graham, un journaliste sceptique, enquête sur un groupe de soutien pour les personnes enlevées par des extra-terrestres, afin de retranscrire de potentielles rencontres surnaturelles. Plus il creuse dans leurs revendications excentriques, plus il se rend compte de la véracité de leurs histoires, et peut-être même de signes qui pourraient prouver son propre enlèvement par des extra-terrestres.;http://static.media.dpstream.net/s/6981/036211.jpg-r_640_600-b_1_d6d6d6-f_jpg-q_x-xxyxx-1478015333.jpg;Série People of Earth streaming,People of Earth dpstream, Série People of Earth HD, People of Earth streaming VF
13;Dark Angel (2016);Dark Angel;En cours;60 min;Brian Percival;Alun Armstrong, Seamus O'Neill, Joanne Froggatt;Drame,Thriller;Royaume-Uni;1;2;L'histoire de Mary Ann Cotton, serial killer pendant l'époque Victorienne.;http://static.media.dpstream.net/s/6980/mv5bmgqwmdewyjmtmde0ys00ztvhlwfkmtytmtcwoguzywjmzte4xkeyxkfqcgdeqxvymjexmjk;Série Dark Angel (2016) streaming,Dark Angel (2016) dpstream, Série Dark Angel (2016) HD, Dark Angel (2016) streaming VF
14;Talma et le mythe d’Agartha;Talma & the Myth of Agharta;En cours;26 min;Dario Duran;;Animation,Aventure;Espagne;1;3;Chine, 1931- L'archéologue Michael Toussaint est en Chine pour effectuer des fouilles dans les montagnes de Kunlun lorsqu'il disparaît mystérieusement. En réalité, il vient de découvrir le «dragon de jade», la clé d'une des entrées de la cité d'Agartha, un royaume souterrain légendaire, relié à tous les continents par un vaste réseau de galeries et de tunnels. Sa fille Talma, journaliste à New York, part immédiatement à sa recherche, accompagnée de son ami Bob...;http://static.media.dpstream.net/s/6979/zzaf---talma-et-le-mythe-d’agartha--2014-v1-1477965414.jpg;Série Talma et le mythe d’Agartha streaming,Talma et le mythe d’Agartha dpstream, Série Talma et le mythe d’Agartha HD, Talma et le mythe d’Agartha streaming VF
15;Dream Corp LLC;ND;En cours;42 min;Daniel Stessen;Stephen Merchant, Stephanie Allynne, Ahmed Bharoocha;Comédie,Drame,Science-fiction;États-Unis;1;6;Dream Corp LLC est une thérapie expérimentale menée par le Dr Roberts, qui permet de vivre ses rêves les plus enfouis dans une réalité virtuelle. Mais très vite, le comportement des patients change au fur et à mesure des semaines...;http://static.media.dpstream.net/s/6978/watch-dream-corp-llc-29387-1477912575.jpg;Série Dream Corp LLC streaming,Dream Corp LLC dpstream, Série Dream Corp LLC HD, Dream Corp LLC streaming VF
16;Le Mystère Enfield;The Enfield Haunting;En cours;50 min;Joshua St. Johnston;Matthew MacFadyen, Rosie Cavaliero, Timothy Spall;Drame,Thriller,Epouvante-horreur;Royaume-Uni;1;3;"Eté 1977, Peggy Hodgson et ses quatre enfants expérimentent des phénomènes très étranges dans leur nouvelle maison située à Einfield. Elle fait alors appel à Maurice Grosse, chercheur débutant dans le paranormal, pour qu’il mène l’enquête. Il est assisté par Guy Lyon Playfair, investigateur expérimenté qui aborde ce cas avec scepticisme.

NB ; Si vous avez aimé The Conjuring 2, découvrez la série Le Mystère Enfield";http://static.media.dpstream.net/s/6977/enfieldj-1477764017.jpg;Série Le Mystère Enfield streaming,Le Mystère Enfield dpstream, Série Le Mystère Enfield HD, Le Mystère Enfield streaming VF
17;Good Girls Revolt;ND;En cours;55 min;Dana Calvo;Genevieve Angelson, Anna Camp, Erin Darke;Drame;États-Unis;1;10;A la fin des années 1960, la vie d'un hebdomadaire national en pleines revendications pour les droits des femmes;http://static.media.dpstream.net/s/6976/good-girls-1477732341.jpg;Série Good Girls Revolt streaming,Good Girls Revolt dpstream, Série Good Girls Revolt HD, Good Girls Revolt streaming VF
18;Pure Genius;ND;En cours;42 min;Jason Katims;Dermot Mulroney, Odette Annable, Augustus Prew;Drame,Médical;États-Unis;1;13;James Bell, génie milliardaire spécialisé dans la technologie, embauche le Dr. Walter Wallade, un chirurgien controversé, pour mettre en place Bunker Hill, un hôpital avant-gardiste sensé révolutionner le monde de la santé.;http://static.media.dpstream.net/s/6975/066288.jpg-r_640_600-b_1_d6d6d6-f_jpg-q_x-xxyxx-1477656520.jpg;Série Pure Genius streaming,Pure Genius dpstream, Série Pure Genius HD, Pure Genius streaming VF
19;The Great Indoors;ND;En cours;22 min;Mike Gibbons;Joel McHale, Christopher Mintz-Plasse, Susannah Fielding;Comédie;États-Unis;1;13;Un journaliste d'aventure doit s'adapter le jour où il devient responsable de jeunes adultes du département numérique dans le magazine pour lequel il travaille.;http://static.media.dpstream.net/s/6974/489055.jpg-r_640_600-b_1_d6d6d6-f_jpg-q_x-xxyxx-1477656290.jpg;Série The Great Indoors streaming,The Great Indoors dpstream, Série The Great Indoors HD, The Great Indoors streaming VF
20;Médicis : les Maîtres de Florence;Medici: Masters Of Florence;En cours;60 min;Frank Spotnitz;Dustin Hoffman, Richard Madden, Annabel Scholey;Drame,Histoire;Italie, États-Unis;1;8;L’ascension de la famille Médicis, de simples commerçants aux banquiers et hommes politiques puissants qui ont déclenché une révolution économique et culturelle dans la Renaissance italienne au xive et xve siècles.;http://static.media.dpstream.net/s/6973/medicici-1477651754.jpg;Série Médicis : les Maîtres de Florence streaming,Médicis : les Maîtres de Florence dpstream, Série Médicis : les Maîtres de Florence HD, Médicis : les Maîtres de Florence streaming VF
